,accession#,sentences,num_chars
17,0001193125-14-356345,proshares.com ultrashort utilities : : 5  leverage risk  the fund obtains investment exposure in excess of its assets in seeking to achieve its investment objectivea form of leverageand will lose more money in market environments adverse to its daily objective than a similar fund that does not employ such leverage.,316
18,0001193125-14-356345,the use of such leverage could result in the total loss of an investors investment.,83
19,0001193125-14-356345,"for example, because the fund includes a multiplier of two times the inverse (-2x) of the index, a single day movement in the index approaching 50% at any point in the day could result in the total loss of a shareholders investment if that movement is contrary to the investment objective of the fund, even if the index subsequently moves in an opposite direction, eliminating all or a portion of the earlier movement.",418
20,0001193125-14-356345,"this would be the case with any such single day movements in the index, even if the index maintains a level greater than zero at all times.",139
21,0001193125-14-356345,"compounding risk  as a result of compounding and because the fund has a single day investment objective, the funds performance for periods greater than a single day is likely to be either better or worse than the index performance times the stated multiple in the funds investment objective, before accounting for fees and fund expenses.",337
22,0001193125-14-356345,"compounding affects all investments, but has a more significant impact on an inverse leveraged fund.",100
23,0001193125-14-356345,"particularly during periods of higher index volatility, compounding will cause results for periods longer than a single day to vary from two times the inverse (-2x) of the return of the index.",192
24,0001193125-14-356345,this effect becomes more pronounced as volatility increases.,60
25,0001193125-14-356345,fund performance for periods greater than a single day can be estimated given any set of assumptions for the following factors: a) index volatility; b) index performance; c) period of time; d) financing rates associated with inverse leveraged exposure; e) other fund expenses; and f) dividends or interest paid with respect to securities in the index.,351
26,0001193125-14-356345,the chart below illustrates the impact of two principal factorsindex volatility and index performanceon fund performance.,121
27,0001193125-14-356345,the chart shows estimated fund returns for a number of combinations of index volatility and index performance over a one-year period.,133
28,0001193125-14-356345,performance shown in the chart assumes: (a) no dividends paid with respect to securities included in the index; (b) no fund expenses; and (c) borrowing/lending rates (to obtain inverse leveraged exposure) of zero percent.,221
29,0001193125-14-356345,"if fund expenses and/or actual borrowing/lending rates were reflected, the funds performance would be different than shown.",123
30,0001193125-14-356345,areas shaded darker represent those scenarios where the fund can be expected to return less than two times the inverse (-2x) of the performance of the index.,157
31,0001193125-14-356345,estimated fund returns index performance one year volatility rate one year index two times the inverse (-2x) of the one year index 10% 25% 50% 75% 100% -60% 120% 506.5% 418.1% 195.2% 15.6% -68.9% -50% 100% 288.2% 231.6% 88.9% -26.0% -80.1% -40% 80% 169.6% 130.3% 31.2% -48.6% -86.2% -30% 60% 98.1% 69.2% -3.6% -62.2% -89.8% -20% 40% 51.6% 29.5% -26.2% -71.1% -92.2% -10% 20% 19.8% 2.3% -41.7% -77.2% -93.9% 0% 0% -3.0% -17.1% -52.8% -81.5% -95.0% 10% -20% -19.8% -31.5% -61.0% -84.7% -95.9% 20% -40% -32.6% -42.4% -67.2% -87.2% -96.5% 30% -60% -42.6% -50.9% -72.0% -89.1% -97.1% 40% -80% -50.5% -57.7% -75.9% -90.6% -97.5% 50% -100% -56.9% -63.2% -79.0% -91.8% -97.8% 60% -120% -62.1% -67.6% -81.5% -92.8% -98.1% the foregoing table is intended to isolate the effect of index volatility and index performance on the return of the fund.,835
32,0001193125-14-356345,"for example, the fund may incorrectly be expected to achieve a -40% return on a yearly basis if the index return were 20%, absent the effects of compounding.",157
33,0001193125-14-356345,"however, as the table shows, with index volatility of 50%, the fund could be expected to return -67.2% under such a scenario.",125
34,0001193125-14-356345,the funds actual returns may be significantly better or worse than the returns shown above as a result of any of the factors discussed above or in principal riskscorrelation risk below.,185
35,0001193125-14-356345,"the indexs annualized historical volatility rate for the five-year period ended june 30, 2014 was 13.70%.",105
36,0001193125-14-356345,"the indexs highest june to june volatility rate during the five-year period was 16.63% (june 30, 2012).",103
37,0001193125-14-356345,"the indexs annualized total return performance for the five-year period ended june 30, 2014 was 15.22%.",103
38,0001193125-14-356345,historical index volatility and performance are not indications of what the index volatility and performance will be in the future.,131
39,0001193125-14-356345,the volatility of u.s. exchange-traded securities or instruments that reflect the value of the index may differ from the volatility of the index.,145
40,0001193125-14-356345,"for additional graphs and charts demonstrating the effects of index volatility and index performance on the long-term performance of the fund, see principal risks of geared funds and the impact of compounding in the back of the funds full prospectus and special note regarding the correlation risks of geared funds in the funds statement of additional information.",364
41,0001193125-14-356345,"6 : : ultrashort utilities proshares.com  correlation risk  a number of factors may affect the funds ability to achieve a high degree of inverse correlation with the index, and there is no guarantee that the fund will achieve a high degree of inverse correlation.",263
42,0001193125-14-356345,"failure to achieve a high degree of inverse correlation may prevent the fund from achieving its investment objective, and the percentage change of the funds nav each day may differ, perhaps significantly, from two times the inverse (-2x) of the percentage change of the index on such day.",288
43,0001193125-14-356345,"in order to achieve a high degree of inverse correlation with the index, the fund seeks to rebalance its portfolio daily to keep exposure consistent with its investment objective.",179
44,0001193125-14-356345,being materially over- or underexposed to the index may prevent the fund from achieving a high degree of inverse correlation with the index.,140
45,0001193125-14-356345,"market disruptions or closure, regulatory restrictions or extreme market volatility will adversely affect the funds ability to adjust exposure to requisite levels.",163
46,0001193125-14-356345,the target amount of portfolio exposure is impacted dynamically by the indexs movements.,88
47,0001193125-14-356345,"because of this, it is unlikely that the fund will have perfect inverse exposure (i.e., -2x) to the index at the end of each day and the likelihood of being materially over- or underexposed is higher on days when the index level is volatile near the close of the trading day.",275
48,0001193125-14-356345,"a number of other factors may also adversely affect the funds inverse correlation with the index, including fees, expenses, transaction costs, financing costs associated with the use of derivatives, income items, valuation methodology, accounting standards and disruptions or illiquidity in the markets for the securities or financial instruments in which the fund invests.",373
49,0001193125-14-356345,"the fund may not have investment exposure to all securities in the index, or its weighting of investment exposure to securities may be different from that of the index.",168
50,0001193125-14-356345,"in addition, the fund may invest in securities not included in the index or in financial instruments.",101
51,0001193125-14-356345,"the fund may take or refrain from taking positions in order to improve tax efficiency, or comply with regulatory restrictions, either of which may negatively affect the funds correlation with the index.",202
52,0001193125-14-356345,"the fund may also be subject to large movements of assets into and out of the fund, potentially resulting in the fund being over- or underexposed to the index and may be impacted by index reconstitutions and index rebalancing events.",233
53,0001193125-14-356345,any of these factors could decrease correlation between the performance of the fund and the index and may hinder the funds ability to meet its daily investment objective on or around that day.,192
54,0001193125-14-356345,"counterparty risk  the fund will be subject to credit risk (i.e., the risk that a counterparty is unwilling or unable to make timely payments to meet its contractual obligations) with respect to the amount it expects to receive from counterparties to financial instruments and repurchase agreements entered into by the fund.",324
55,0001193125-14-356345,"if a counterparty becomes bankrupt or fails to perform its obligations, the value of an investment in the fund may decline.",123
56,0001193125-14-356345,"early close/late close/trading halt risk  an exchange or market may close early, close late or issue trading halts on specific securities, or the ability to buy or sell certain securities or financial instruments may be restricted, which may result in the fund being unable to buy or sell certain securities or financial instruments.",333
57,0001193125-14-356345,"in these circumstances, the fund may be unable to rebalance its portfolio, may be unable to accurately price its investments and/or may incur substantial trading losses.",169
58,0001193125-14-356345,"equity and market risk  the equity markets are volatile, and the value of securities, swaps, futures and other instruments correlated with the equity markets may fluctuate dramatically from day-to-day.",201
59,0001193125-14-356345,"equity markets are subject to corporate, political, regulatory, market and economic developments, as well as developments that impact specific economic sectors, industries or segments of the market.",198
60,0001193125-14-356345,"further, stocks in the index may underperform other equity investments.",71
61,0001193125-14-356345,volatility in the markets and/or market developments may cause the value of an investment in the fund to decrease.,114
62,0001193125-14-356345,"as a fund seeking investment results that correspond to two times the inverse (-2x) of the index, the funds performance will generally decrease when market conditions cause the level of the index to rise.",204
63,0001193125-14-356345,intraday price performance risk  the fund is rebalanced at or about the time of its nav calculation.,100
64,0001193125-14-356345,"as such, the intraday position of the fund will generally be different from the funds stated investment objective of corresponding to two times the inverse (-2x) of the index.",175
65,0001193125-14-356345,"when shares are bought intraday, the performance of the funds shares relative to the index until the funds next nav calculation time will generally be greater than or less than the funds stated multiple.",203
66,0001193125-14-356345,inverse correlation risk  shareholders will lose money when the index risesa result that is the opposite from traditional funds.,128
67,0001193125-14-356345,"liquidity risk  in certain circumstances, such as the disruption of the orderly markets for the securities or financial instruments in which the fund invests, the fund might not be able to acquire or dispose of certain holdings quickly or at prices that represent true market value in the judgment of proshare advisors.",319
68,0001193125-14-356345,"markets for the securities or financial instruments in which the fund invests may be disrupted by a number of events, including but not limited to economic crises, natural disasters, new legislation, or regulatory changes inside or outside of the u.s. for example, regulation limiting the ability of certain financial institutions to invest in certain securities would likely reduce the liquidity of those securities.",417
69,0001193125-14-356345,"these situations may prevent the fund from limiting losses, realizing gains or achieving a high inverse correlation with the index.",131
70,0001193125-14-356345,market price variance risk  the funds shares are listed for trading on nyse arca and can be bought and sold in the secondary market at market prices.,149
71,0001193125-14-356345,"the market price of shares will fluctuate in response to changes in the value of the funds holdings, supply and demand for shares and other market factors.",155
72,0001193125-14-356345,"proshare advisors cannot predict whether shares will trade above, below or at a price equal to the value of the funds holdings.",127
73,0001193125-14-356345,"given the fact that shares can be created and redeemed in creation units, as defined below, proshare advisors believes that large discounts or premiums to the value of the funds holdings should not be sustained.",211
74,0001193125-14-356345,the funds investment proshares.com ultrashort utilities : : 7 results are measured based upon the daily nav of the fund.,120
75,0001193125-14-356345,investors purchasing and selling shares in the secondary market may not experience investment results consistent with those experienced by authorized participants creating and redeeming directly with the fund.,209
76,0001193125-14-356345,"non-diversification risk  the fund is classified as non-diversified under the investment company act of 1940, and has the ability to invest a relatively high percentage of its assets in financial instruments with a single counterparty or a few counterparties.",259
77,0001193125-14-356345,this may cause the credit of one or a relatively smaller number of counterparties to have a greater impact on the funds performance.,132
78,0001193125-14-356345,"portfolio turnover risk  daily rebalancing of fund holdings, which is required to keep inverse leverage consistent with a single day investment objective, will cause a higher level of portfolio transactions than compared to most exchange-traded funds.",251
79,0001193125-14-356345,"additionally, active market trading of the funds shares may cause more frequent creation or redemption activities that could, in certain circumstances, increase the number of portfolio transactions.",198
80,0001193125-14-356345,high levels of transactions increase brokerage and other transaction costs and may result in increased taxable capital gains.,125
81,0001193125-14-356345,"short sale exposure risk  the fund may seek inverse or short exposure through financial instruments such as swap agreements, which may cause the fund to be exposed to certain risks associated with selling securities short.",222
82,0001193125-14-356345,"these risks include, under certain market conditions, an increase in the volatility and decrease in the liquidity of securities underlying the short position, which may lower the funds return, result in a loss, have the effect of limiting the funds ability to obtain inverse exposure through financial instruments such as swap agreements, or require the fund to seek inverse exposure through alternative investment strategies that may be less desirable or more costly to implement.",481
83,0001193125-14-356345,"to the extent that, at any particular point in time, the securities underlying the short position may be thinly traded or have a limited market, including due to regulatory action, the fund may be unable to meet its investment objective due to a lack of available securities or counterparties.",293
84,0001193125-14-356345,"during such periods, the funds ability to issue additional creation units may be adversely affected.",100
85,0001193125-14-356345,obtaining inverse exposure through these instruments may be considered an aggressive investment technique.,106
86,0001193125-14-356345,"any income, dividends or payments on the funds short positions will negatively impact the fund.",95
87,0001193125-14-356345,"utilities industry risk  the fund is subject to risks faced by companies in the utilities economic sector to the same extent as the index is so concentrated, including: review and limitation of rates by governmental regulatory commissions; the fact that the value of regulated utility instruments tends to have an inverse relationship to the movement of interest rates; the risk that utilities may engage in riskier ventures where they have little or no experience, as deregulation allows utilities to diversify outside of their original geographic regions and their traditional lines of business and greater competition as a result of deregulation, which may adversely affect profitability due to lower operating margins, higher costs and diversification into unprofitable business lines.",789
88,0001193125-14-356345,"while the realization of certain of these risks may benefit the fund because the fund seeks investment results that correspond to two times the inverse (-2x) of the index, such occurrences may introduce more volatility to the fund.",231
89,0001193125-14-356345,"please see investment objectives, principal investment strategies and related risks in the back of the funds full prospectus for additional details.",148
90,0000894189-17-003697,"as with any mutual fund, there are risks to investing.",54
91,0000894189-17-003697,an investment in the fund is not a deposit of a bank and is not insured or guaranteed by the federal deposit insurance corporation or any other governmental agency.,164
92,0000894189-17-003697,"remember, in addition to possibly not achieving your investment goals, you could lose all or a portion of your investment in the fund over short or even long periods of time .",175
93,0000894189-17-003697,the principal risks of investing in the fund are: general market risk.,70
94,0000894189-17-003697,the funds net asset value and investment return will fluctuate based upon changes in the value of its portfolio securities.,123
95,0000894189-17-003697,"certain securities selected for the funds portfolio may be worth less than the price originally paid for them, or less than they were worth at an earlier time.",159
96,0000894189-17-003697,management risk.,16
97,0000894189-17-003697,the fund may not meet its investment objective or may underperform the market or other mutual funds with similar strategies if the adviser cannot successfully implement the funds investment strategies.,201
98,0000894189-17-003697,equity securities risk .,24
99,0000894189-17-003697,"the equity securities held in the funds portfolio may experience sudden, unpredictable drops in value or long periods of decline in value.",138
100,0000894189-17-003697,"this may occur because of factors that affect securities markets generally or factors affecting specific industries, sectors, geographic markets, or companies in which the fund invests.",185
101,0000894189-17-003697,preferred stock risk.,21
102,0000894189-17-003697,a preferred stock is a blend of the characteristics of a bond and common stock.,79
103,0000894189-17-003697,"it may offer the higher yield of a bond and has priority over common stock in equity ownership and receipt of dividends, but it does not have the seniority of a bond and, unlike common stock, its participation in the issuers growth may be limited.",247
104,0000894189-17-003697,"although the dividend on a preferred stock may be set at a fixed annual rate, in some circumstances it may be changed by the issuer.",132
105,0000894189-17-003697,2 convertible securities risk .,31
106,0000894189-17-003697,"t he market values of convertible securities tend to decline as interest rates increase and, conversely, to increase as interest rates decline.",143
107,0000894189-17-003697,"a convertible securitys market value, however, also tends to reflect the market price of the common stock of the issuing company when that stock price approaches or is greater than the convertible securitys conversion price.",224
108,0000894189-17-003697,t he conversion price is defined as the predetermined price at which the convertible security could be exchanged for the associated stock.,138
109,0000894189-17-003697,"as the market price of the underlying common stock declines, the price of the convertible security tends to be influenced more by the yield of the convertible security.",168
110,0000894189-17-003697,investment company risk.,24
111,0000894189-17-003697,"the fund bears all risks associated with the investment companies (including etfs) in which it invests, including the risk that an investment company will not successfully implement its investment strategy or meet its investment objective.",239
112,0000894189-17-003697,"the fund also bears its pro rata portion of an investment companys total expenses, in addition to the funds own expenses, and therefore the funds total expenses may be higher than if it invested directly in the securities held by the investment company.",253
113,0000894189-17-003697,etf risk.,9
114,0000894189-17-003697,the market price of an etf fluctuates based on changes in the etfs net asset value as well as changes in the supply and demand of its shares in the secondary market.,165
115,0000894189-17-003697,it is also possible that an active secondary market of an etfs shares may not develop and market trading in the shares of the etf may be halted under certain circumstances.,172
116,0000894189-17-003697,the lack of liquidity in a particular etf could result in it being more volatile than the etfs underlying portfolio of securities.,130
117,0000894189-17-003697,"in addition, a passively managed etf may not accurately track the performance of the reference index.",101
118,0000894189-17-003697,reit risk.,10
119,0000894189-17-003697,investments in reits will be subject to the risks associated with the direct ownership of real estate and annual compliance with tax rules applicable to reits.,159
120,0000894189-17-003697,"risks commonly associated with the direct ownership of real estate include fluctuations in the value of underlying properties, defaults by borrowers or tenants, changes in interest rates and risks related to general or local economic conditions.",245
121,0000894189-17-003697,"in addition, reits have their own expenses, and the fund will bear a proportionate share of those expenses.",107
122,0000894189-17-003697,sector emphasis risk .,22
123,0000894189-17-003697,"the securities of companies in the same or related businesses (industry sectors), if comprising a significant portion of the funds portfolio, may in some circumstances react negatively to market conditions, interest rates and economic, regulatory or financial developments and adversely affect the value of the portfolio to a greater extent than if such securities comprised a lesser portion of the funds portfolio or the funds portfolio was diversified across a greater number of industry sectors.",498
124,0000894189-17-003697,some industry sectors have particular risks that may not affect other sectors.,78
125,0000894189-17-003697,large cap companies risk.,25
126,0000894189-17-003697,"the funds investment in larger companies is subject to the risk that larger companies are sometimes unable to attain the high growth rates of successful, smaller companies, especially during extended periods of economic expansion.",230
127,0000894189-17-003697,foreign securities risk .,25
128,0000894189-17-003697,"investments in securities issued by foreign companies involve risks not generally associated with investments in securities of u.s. companies, including risks relating to political, social, and economic developments abroad, differences between u.s. and foreign regulatory and tax requirements, and market practices, as well as fluctuations in foreign currencies.",362
129,0000894189-17-003697,currency risk.,14
130,0000894189-17-003697,"when the fund buys or sells securities on a foreign stock exchange, the transaction is undertaken in the local currency rather than in u.s. dollars, which carries the risk that the value of the foreign currency will increase or decrease, which may impact the value of the funds portfolio holdings and your investment.",317
131,0000894189-17-003697,"non-u.s. countries may adopt economic policies and/or currency exchange controls that affect its currency valuations in a disadvantageous manner for u.s. investors and companies and restrict or prohibit the funds ability to repatriate both investment capital and income, which could place the funds assets in such country at risk of total loss.",344
132,0000894189-17-003697,adr risk.,9
133,0000894189-17-003697,adrs are generally subject to the same risks as the foreign securities because their values depend on the performance of the underlying foreign securities.,155
134,0000894189-17-003697,holders of unsponsored adrs generally bear all the costs of such depositary receipts.,85
135,0000894189-17-003697,portfolio turnover risk .,25
136,0000894189-17-003697,"a high portfolio turnover rate (100% or more) has the potential to result in the realization by the fund, and distribution to shareholders, of a greater amount of capital gains than if the fund had a low portfolio turnover rate.",228
137,0000894189-17-003697,this may mean that you would be likely to have a higher tax liability.,70
138,0000894189-17-003697,distributions to shareholders of short-term capital gains are taxed as ordinary income under federal tax laws.,110
139,0000894189-17-003697,"when the fund purchases securities through a broker, a high portfolio turnover rate generally results in correspondingly greater brokerage commission expenses, which must be borne directly by the fund.",201
140,0001193125-13-204901,of investing in the fund risk is inherent in all investing.,59
141,0001193125-13-204901,"the value of your investment in blackrock cash funds: government, as well as the amount of return you receive on your investment, may fluctuate significantly from day to day and over time.",188
142,0001193125-13-204901,you may lose part or all of your investment in the fund or your investment may not perform as well as other similar investments.,128
143,0001193125-13-204901,an investment in the fund is not insured or guaranteed by the federal deposit insurance corporation or any other government agency.,131
144,0001193125-13-204901,"although the fund seeks to preserve the value of your investment at $1.00 per share, it is possible to lose money by investing in the fund.",139
145,0001193125-13-204901,the following is a summary description of principal risks of investing in the fund.,83
146,0001193125-13-204901,n credit risk  credit risk refers to the possibility that the issuer of a security will not be able to make payments of interest and principal when due.,152
147,0001193125-13-204901,changes in an issuers credit rating or the markets perception of an issuers creditworthiness may also affect the value of the funds investment in that issuer.,158
148,0001193125-13-204901,n income risk  income risk is the risk that the funds yield will vary as short term securities in its portfolio mature and the proceeds are reinvested in securities with different interest rates.,195
149,0001193125-13-204901,n interest rate risk  interest rate risk is the risk that the value of a debt security may fall when interest rates rise.,121
150,0001193125-13-204901,"in general, the market price of debt securities with longer maturities will go up or down more in response to changes in interest rates than the market price of shorter term securities.",185
151,0001193125-13-204901,"additionally, securities issued or guaranteed by the u.s. government, its agencies, instrumentalities and sponsored enterprises have historically involved little risk of loss of principal if held to maturity.",208
152,0001193125-13-204901,"however, due to fluctuations in interest rates, the market value of such securities may vary during the period shareholders own shares of the fund.",147
153,0001193125-13-204901,"n investment in other investment companies risk  as with other investments, investments in other investment companies are subject to market and selection risk.",159
154,0001193125-13-204901,"in addition, if the fund acquires shares of investment companies, including ones affiliated with the fund, shareholders bear both their proportionate share of expenses in the fund (including management and advisory fees) and, indirectly, the expenses of the investment companies.",279
155,0001193125-13-204901,"to the extent the fund is held by an affiliated fund, the ability of the fund itself to hold other investment companies may be limited.",135
156,0001193125-13-204901,"n market risk and selection risk  market risk is the risk that one or more markets in which the fund invests will go down in value, including the possibility that the markets will go down sharply and unpredictably.",214
157,0001193125-13-204901,"selection risk is the risk that the securities selected by fund management will underperform the markets, the relevant indices or the securities selected by other funds with similar investment objectives and investment strategies.",230
158,0001193125-13-204901,this means you may lose money.,30
159,0001193125-13-204901,"n regulatory risk  in 2010, the sec adopted amendments to money market fund regulations, which imposed new liquidity, credit quality, and maturity requirements on all money market funds.",186
160,0001193125-13-204901,"in addition, the sec may adopt additional reforms to money market fund regulation.",82
161,0001193125-13-204901,these or any other legal or regulatory changes may affect the funds operations and/or return potential.,103
162,0001193125-13-204901,"n repurchase agreements risk  if the other party to a repurchase agreement defaults on its obligation under the agreement, the fund may suffer delays and incur costs or lose money in exercising its rights under the agreement.",225
163,0001193125-13-204901,"if the seller fails to repurchase the security and the market value of the security declines, the fund may lose money.",118
164,0001193125-13-204901,"n u.s. government obligations risk  certain securities in which the fund may invest, including securities issued by certain u.s. government agencies and u.s. government sponsored enterprises, are not guaranteed by the u.s. government or supported by the full faith and credit of the united states.",297
165,0001193125-13-204901,n variable and floating rate instrument risk  the absence of an active market for these securities could make it difficult for the fund to dispose of them if the issuer defaults.,178
166,0001193125-11-117631,you could lose money by investing in the fund.,46
167,0001193125-11-117631,active investor risk  a significant portion of assets invested in the fund come from professional money managers and investors who use the fund as part of active trading or tactical asset allocation strategies.,210
168,0001193125-11-117631,"these strategies often call for frequent trading to take advantage of anticipated changes in market conditions, which could increase portfolio turnover.",152
169,0001193125-11-117631,"the fund permits short-term trading of its shares, which may result in additional costs for the fund.",101
170,0001193125-11-117631,"in addition, large movements of assets into and out of the fund may have a negative impact on the funds ability to achieve its investment objective or maintain a consistent level of fund number :: 217 :: profund vp basic materials : : 3 operating expenses.",256
171,0001193125-11-117631,"in certain circumstances, the funds expense ratio may vary from current estimates or the historical ratio disclosed in this prospectus.",135
172,0001193125-11-117631,"basic materials industry risk  the fund is subject to risks faced by companies in the basic materials economic sector to the same extent as the index is so concentrated, including: adverse effects from commodity price volatility, exchange rates, import controls and increased competition; the possibility that production of industrial materials will exceed demand as a result of overbuilding or economic downturns, leading to poor investment returns; risk for environmental damage and product liability claims; and adverse effects from depletion of resources, technical progress, labor relations and government regulations.",623
173,0001193125-11-117631,"further, stocks in the index may underperform fixed income investments and stock market indexes that track other markets, segments and sectors.",143
174,0001193125-11-117631,"correlation risk  a number of factors may affect the funds ability to achieve a high degree of correlation with its benchmark, and there can be no guarantee that the fund will achieve a high degree of correlation.",213
175,0001193125-11-117631,failure to achieve a high degree of correlation may prevent the fund from achieving its investment objective.,109
176,0001193125-11-117631,"factors that may adversely affect the funds correlation with its benchmark, include fees, expenses, transaction costs, costs and risks associated with the use of leveraged investment techniques, income items, accounting standards and disruptions or illiquidity in the markets for the securities or financial instruments in which the fund invests.",346
177,0001193125-11-117631,"the fund may not have investment exposure to all securities in its underlying benchmark index, or its weighting of investment exposure to such stocks or industries may be different from that of the index.",204
178,0001193125-11-117631,"in addition, the fund may invest in securities or financial instruments not included in the index underlying its benchmark.",123
179,0001193125-11-117631,"the fund may be subject to large movements of assets into and out of the fund, potentially resulting in the fund being over- or under-exposed to its benchmark.",159
180,0001193125-11-117631,activities surrounding periodic index reconstitutions and other index rebalancing or reconstitution events may hinder the funds ability to meet its daily investment objective on or around that day.,197
181,0001193125-11-117631,"counterparty risk  the fund will be subject to credit risk (that is, where changes in an issuers financial strength or the credit rating of a financial instrument it issues may affect an instruments value) with respect to the amount it expects to receive from counterparties to derivatives or repurchase agreements entered into by the fund, including amounts held by special purpose or structured vehicles.",406
182,0001193125-11-117631,"if a counterparty becomes bankrupt or otherwise fails to perform its obligations due to financial difficulties, the value of your investment in the fund may decline.",165
183,0001193125-11-117631,"early close/late close/trading halt risk  an exchange or market may close early, close late or issue trading halts on specific securities, or the ability to buy or sell certain securities or derivatives may be restricted, which may result in the fund being unable to buy or sell certain securities or derivatives.",313
184,0001193125-11-117631,"in such circumstances, the fund may be unable to rebalance its portfolio, may be unable to accurately price its investments and/or may incur substantial trading losses.",168
185,0001193125-11-117631,"equity and market risk  the equity markets are volatile, and the value of securities, swaps, futures, options contracts and other instruments correlated with the equity markets may fluctuate dramatically from day-to-day.",220
186,0001193125-11-117631,"equity markets are subject to political, regulatory, market and economic developments, as well as developments that impact specific economic sectors, industries or segments of the market.",187
187,0001193125-11-117631,volatility in the markets and/or adverse market developments may cause the value of an investment in the fund to decrease.,122
188,0001193125-11-117631,"liquidity risk  in certain circumstances, such as the disruption of the orderly markets for the securities or derivatives in which the fund invests, the fund might not be able to dispose of certain holdings quickly or at prices that represent true market value in the judgment of profund advisors.",297
189,0001193125-11-117631,"such a situation may prevent the fund from limiting losses, realizing gains or achieving a high correlation with its underlying index.",134
190,0001193125-11-117631,"non-diversification risk  the fund is classified as non-diversified under the 1940 act, and has the ability to invest a relatively high percentage of its investments in the securities of a small number of issuers susceptible to a single economic, political or regulatory event.",277
191,0001193125-11-117631,portfolio turnover risk  the funds strategy typically involves high portfolio turnover to manage the funds investment exposure.,127
192,0001193125-11-117631,a high level of portfolio turnover may have a negative impact on,64
193,0000940394-13-000369,equity investing risk.,22
194,0000940394-13-000369,the funds shares are sensitive to stock market volatility and the stocks in which the fund invests may be more volatile than the stock market as a whole.,153
195,0000940394-13-000369,"the prices of stocks may decline in response to conditions affecting the general economy; overall market changes; local, regional or global political, social or economic instability; and currency, interest rate and commodity price fluctuations, as well as issuer or sector specific events.",289
196,0000940394-13-000369,market conditions may affect certain types of stocks (such as small-cap or value stocks) to a greater extent than other types of stocks.,136
197,0000940394-13-000369,"if the stock market declines, the value of fund shares will also likely decline and, although stock values can rebound, there is no assurance that values will return to previous levels.",185
198,0000940394-13-000369,tax-managed investing risk.,27
199,0000940394-13-000369,market conditions may limit the funds ability to generate tax losses or to generate dividend income taxed at favorable tax rates.,129
200,0000940394-13-000369,the funds tax-managed strategy may cause the fund to hold a security in order to achieve more favorable tax-treatment or to sell a security in order to create tax losses.,170
201,0000940394-13-000369,the funds ability to utilize various tax-management techniques may be curtailed or eliminated in the future by tax legislation or regulation.,141
202,0000940394-13-000369,"although the fund expects that a smaller portion of its total return will consist of taxable distributions to shareholders as compared to equity mutual funds that are managed without regard to tax considerations, there can be no assurance about the size of taxable distributions to shareholders.",295
203,0000940394-13-000369,small company equity risk.,26
204,0000940394-13-000369,"the stocks of small and emerging companies are generally subject to greater price fluctuations, limited liquidity, higher transaction costs and higher investment risk.",167
205,0000940394-13-000369,"small and emerging companies may have limited product lines, markets or financial resources, may be dependent on a limited management group, and may lack substantial capital reserves or an established performance record.",220
206,0000940394-13-000369,"there may be generally less publicly available information about such companies than for larger, more established companies.",124
207,0000940394-13-000369,stocks of these companies frequently have lower trading volumes making them more volatile and potentially more difficult to value.,130
208,0000940394-13-000369,foreign and emerging market investment risk.,44
209,0000940394-13-000369,"because the fund can invest a portion of its assets in foreign instruments, the value of fund shares can be adversely affected by changes in currency exchange rates and political, economic and market developments abroad.",220
210,0000940394-13-000369,"in emerging or less developed countries, these risks can be more significant.",77
